Reg	Aircraft Type	Config	Delivered	Remark	Age	
VT-ISR	Airbus A320neo	Y186	Nov 2020	lsd	5.1 Years	
VT-ISS	Airbus A320neo	Y186	Dec 2020	lsd	5 Years	
VT-IST	Airbus A320neo	Y186	Apr 2021	lsd	4.7 Years	
VT-ISU	Airbus A320neo	Y186	May 2021	lsd	4.7 Years	
VT-ISV	Airbus A320neo	Y186	Jul 2021	lsd	4.5 Years	
VT-ISW	Airbus A320neo	Y186	Jul 2021	lsd	4.4 Years	
VT-ISX	Airbus A320neo	Y186	Jul 2021	lsd	4.4 Years	
VT-ISY	Airbus A320neo	Y186	Sep 2021	lsd	4.3 Years	
VT-ISZ	Airbus A320neo	Y186	Aug 2022	lsd	3.3 Years	
VT-ITA	Airbus A320neo	Y180	Mar 2016	lsd	9.7 Years	
VT-ITB	Airbus A320neo	Y180	Sep 2016	lsd	10.2 Years	
VT-ITF	Airbus A320neo	Y180	Apr 2016	lsd	9.7 Years	
VT-ITG	Airbus A320neo	Y180	Sep 2016	Parked at COK, lsd	9.6 Years	
VT-ITI	Airbus A320neo	Y180	Sep 2016	lsd	9.3 Years	
VT-ITK	Airbus A320neo	Y180	Aug 2016	Parked at COK, lsd	9.4 Years	
VT-ITL	Airbus A320neo	Y180	Sep 2016	lsd	9.2 Years	
VT-ITM	Airbus A320neo	Y180	Nov 2016	lsd	9.2 Years	
VT-ITN	Airbus A320neo	Y180	Dec 2016	lsd	9 Years	
VT-ITO	Airbus A320neo	Y180	Feb 2017	lsd	8.9 Years	
VT-ITP	Airbus A320neo	Y180	Feb 2017	Parked at BLR, lsd	8.9 Years	
VT-ITQ	Airbus A320neo	Y180	Mar 2017	Parked at DEL, lsd	8.8 Years
VT-ITR	Airbus A320neo 	Y180	Mar 2017	lsd	8.8 Years	
VT-ITS	Airbus A320neo	Y180	Feb 2017	Parked at BLR, lsd	10 Years	
VT-ITT	Airbus A320neo	Y180	May 2017	Parked at DEL, lsd	8.6 Years	
VT-ITU	Airbus A320neo	Y180	May 2017	lsd	8.6 Years	
VT-ITV	Airbus A320neo	Y180	Apr 2017	lsd	9 Years	
VT-ITW	Airbus A320neo	Y180	Aug 2017	Parked at BLR, lsd	8.4 Years	
VT-ITX	Airbus A320neo	Y180	Sep 2017	Parked / Maintenance, lsd	8.7 Years	
VT-ITY	Airbus A320neo	Y180	Oct 2017	Parked at BLR, lsd	8.5 Years	
VT-ITZ	Airbus A320neo	Y186	Nov 2017	lsd	8.1 Years	
VT-IVA	Airbus A320neo	Y186	Nov 2017	lsd	8 Years	
VT-IVB	Airbus A320neo	Y186	Nov 2017	lsd	8.1 Years	
VT-IVC	Airbus A320neo	Y186	Nov 2017	Parked at NAG, lsd	8.1 Years	
VT-IVD	Airbus A320neo	Y186	Dec 2017	Parked at BLR, lsd	8 Years	
VT-IVE	Airbus A320neo	Y180	Dec 2017	lsd	8.3 Years	
VT-IVF	Airbus A320neo	Y180	Dec 2017	Parked at NAG, lsd	8.3 Years	
VT-IVK	Airbus A320neo	Y186	Dec 2018	Parked at BLR, lsd	7.2 Years	
VT-IVP	Airbus A320neo	Y186	Jul 2018	lsd	7.4 Years	
VT-IVQ	Airbus A320neo	Y186	Jul 2018	Parked at COK, lsd	7.4 Years	
VT-IVX	Airbus A320neo	Y186	Sep 2018	lsd	7.3 Years	
VT-IVY	Airbus A320neo	Y186	Sep 2018	Parked at HYD, lsd	7.3 Years	
VT-IVZ	Airbus A320neo	Y186	Sep 2018	lsd	7.3 Years	
VT-IXA	Airbus A320neo	Y186	May 2024	lsd	1.6 Years	
VT-IXD	Airbus A320neo	Y186	Jun 2024	lsd	1.6 Years	
VT-IXE	Airbus A320neo	Y186	Jun 2024	lsd	1.6 Years	
VT-IXF	Airbus A320neo	Y186	Aug 2024	lsd	1.4 Years	
VT-IXG	Airbus A320neo	Y186	Jul 2024	lsd	1.4 Years	
VT-IXH	Airbus A320neo	Y186	Jul 2024	lsd	1.4 Years	
VT-IXI	Airbus A320neo	Y186	Aug 2024	lsd	1.4 Years	
VT-IXJ	Airbus A320neo	Y186	Sep 2024	lsd	1.2 Years	
VT-IXK	Airbus A320neo	Y186	Sep 2024	lsd	1.3 Years	
VT-IXL	Airbus A320neo	Y186	Oct 2024	lsd	1.2 Years	
VT-IXM	Airbus A320neo	Y186	Oct 2024	lsd	1.2 Years	
VT-IXN	Airbus A320neo	Y186	Oct 2024	lsd	1.2 Years	
VT-IXO	Airbus A320neo	Y186	Oct 2024	lsd	1.2 Years	
VT-IXP	Airbus A320neo	Y186	Nov 2024	lsd	1.1 Years	
VT-IXQ	Airbus A320neo	Y186	Nov 2025		Brand new	
VT-IXT	Airbus A320neo	Y186	Oct 2025		0.2 Years	
VT-IZB	Airbus A320neo	Y186	Oct 2018	lsd	7.2 Years	
VT-IZC	Airbus A320neo	Y186	Oct 2018	Parked at CCU, lsd	7.2 Years	
VT-IZD	Airbus A320neo	Y186	Oct 2018	lsd	7.2 Years	
VT-IZE	Airbus A320neo	Y186	Oct 2018	lsd	7.1 Years	
VT-IZF	Airbus A320neo	Y186	Nov 2018	lsd	7.1 Years	
