Reg	Aircraft Type	Config	Delivered	Remark	Aircraft Name	Age	
VT-AEE	Boeing 777-200	C28W48Y212	Apr 2023	lsd	अविजित / Avijit	16.8 Years	
VT-AEH	Boeing 777-200	C28W48Y212	Jan 2023	lsd	आलोक / Alok	16.6 Years	
VT-AEI	Boeing 777-200	C28W48Y212	Jun 2023	lsd	उदय / Uday	16.6 Years	
VT-AEM	Boeing 777-300ER	F8C40Y280	Jan 2024	lsd	Sharika / सारिका	13.5 Years	
VT-AEN	Boeing 777-300ER	F8C40Y280	Feb 2024	lsd	Dhyuti / द्युति	13 Years	
VT-AEO	Boeing 777-300ER	F8C40Y280	Feb 2024	lsd	Tvisha	13 Years	
VT-AEP	Boeing 777-300ER	F8C40Y280	Jan 2024	lsd	Nitya / नित्या	12.8 Years	
VT-AEQ	Boeing 777-300ER	F8C40Y280	Oct 2023		साधवी / Sadhvi	12.6 Years	
VT-AER	Boeing 777-300ER	F8C40Y280	Jul 2023	Parked / Maintenance	क्रिया / Kriyā	12.1 Years	
VT-ALJ	Boeing 777-300ER	F4C35Y303	Oct 2007	Star Alliance  cs	बिहार / Bihar 	18.2 Years	
VT-ALK	Boeing 777-300ER	F4C35Y303	Oct 2007		छत्तीसगढ / Chattisgarh 	18.1 Years	
VT-ALL	Boeing 777-300ER	F4C35Y303	Dec 2007	Parked at NAG	गोवा / Goa 	18 Years	
VT-ALM	Boeing 777-300ER	F4C35Y303	Jun 2008		हिमाचल प्रदेश / Himachal Pradesh 	17.5 Years	
VT-ALN	Boeing 777-300ER	F4C35Y303	Jul 2008	"Celebrating India" sticker	जम्मू एवं कश्मीर / Jammu and Kashmir 	17.4 Years	
VT-ALO	Boeing 777-300ER	F4C35Y303	Jul 2009		कर्नाटक / Karnataka 	16.4 Years	
VT-ALP	Boeing 777-300ER	F4C35Y303	Aug 2009		मध्य प्रदेश / Madhya Pradesh 	16.4 Years
VT-ALQ	Boeing 777-300ER 	F4C35Y303	Aug 2009		मणिपुर / Manipur 	16.3 Years	
VT-ALR	Boeing 777-300ER	F4C35Y303	Sep 2009		मेघालय / Meghalaya 	16.2 Years	
VT-ALS	Boeing 777-300ER	F4C35Y303	Apr 2010		मिजोरम / Mizoram 	15.6 Years	
VT-ALT	Boeing 777-300ER	F4C35Y303	May 2010		नगालैंड / Nagaland 	15.6 Years	
